,cp-lc-external-al,cp-lc-internal-al,cp-lc-internallazy-al,cp-sc-al,d2-lc-external-al,d2-lc-internal-al,d2-lc-internallazy-al,d2-sc-al,sam-lc-external-al,sam-lc-internal-al,sam-lc-internallazy-al,sam-sc-al,unet-lc-external-al,unet-lc-internal-al,unet-lc-internallazy-al,unet-sc-al
22,0.3846730627355087,,,,0.06402210128302689,,,,0.8489805089481078,,,,0.017257456083119765,,,
23,0.9097218891455553,,,,0.017257456083119765,,,,0.1485030692558927,,,,0.08897301170181328,,,
24,0.6231762238821174,,,,0.06402210128302689,,,,0.7912601064031788,,,,0.6775849579524755,,,
25,0.3846730627355087,,,,0.21229383619233155,,,,0.6771264456476052,,,,0.6231762238821174,,,
26,0.7337299956962472,,,,0.03763531378731424,,,,0.6709822897360269,,,,0.24132159301718004,,,
27,0.10410988966022681,,,,0.4273553138978077,,,,0.3428832983967489,,,,0.47267559351158717,,,
28,0.9097218891455553,,,,0.4273553138978077,,,,1.0,,,,0.9097218891455553,,,
29,0.10410988966022681,,,,0.3846730627355087,,,,0.7053513720635047,,,,0.8205295061094116,,,
30,0.3447042220069576,,,,0.031209012771740218,,,,0.04048904655771529,,,,0.7913367801006604,,,
31,1.0,,,,0.6231762238821174,,,,0.11982390121042867,,,,0.3846730627355087,,,
32,0.07566157214388704,,,,0.3846730627355087,,,,0.12066463643502272,,,,0.7337299956962472,,,
33,0.16197241048012612,,,,0.0036105143123296027,,,,0.9085153374917286,,,,0.6775849579524755,,,
